latitude,longitude,brightness,acq_date,acq_time,satellite,instrument
7.4744,0.3478,303.3,1/1/2020,113,Aqua,MODIS
8.5795,-0.308,301.5,1/1/2020,113,Aqua,MODIS
9.7152,-2.5983,324,1/1/2020,1037,Terra,MODIS
9.6006,-1.8064,324.8,1/1/2020,1037,Terra,MODIS
9.4069,-0.4868,321.3,1/1/2020,1037,Terra,MODIS
9.5126,-1.3291,322.3,1/1/2020,1037,Terra,MODIS
9.2686,0.3186,325.5,1/1/2020,1037,Terra,MODIS
9.4903,-1.2393,324.8,1/1/2020,1037,Terra,MODIS
9.5052,-1.4048,320.9,1/1/2020,1037,Terra,MODIS
9.3524,-0.366,323.3,1/1/2020,1037,Terra,MODIS
9.406,-0.7901,327.1,1/1/2020,1037,Terra,MODIS
9.4047,-0.7811,330.9,1/1/2020,1037,Terra,MODIS
9.2415,0.3146,321.8,1/1/2020,1037,Terra,MODIS
9.4613,-0.6014,335.3,1/1/2020,1037,Terra,MODIS
9.546,-1.8141,328,1/1/2020,1037,Terra,MODIS
9.4656,-0.6926,355.9,1/1/2020,1037,Terra,MODIS
9.4643,-0.6836,335.9,1/1/2020,1037,Terra,MODIS
9.4537,-0.6117,353.5,1/1/2020,1037,Terra,MODIS
9.4524,-0.6027,330.1,1/1/2020,1037,Terra,MODIS
9.5416,-1.3374,322.7,1/1/2020,1037,Terra,MODIS
10.8996,-0.6099,321.8,1/1/2020,1037,Terra,MODIS
9.4626,-0.6104,340.3,1/1/2020,1037,Terra,MODIS
9.4732,-0.6823,325.5,1/1/2020,1037,Terra,MODIS
9.4746,-0.6913,324.4,1/1/2020,1037,Terra,MODIS
9.4812,-0.7363,326.2,1/1/2020,1037,Terra,MODIS
9.4888,-0.726,329.2,1/1/2020,1037,Terra,MODIS
9.4901,-0.735,340.8,1/1/2020,1037,Terra,MODIS
9.4131,-0.0926,324.8,1/1/2020,1037,Terra,MODIS
9.6886,-1.9705,323.9,1/1/2020,1037,Terra,MODIS
9.5514,-0.9653,323.1,1/1/2020,1037,Terra,MODIS
9.5604,-0.964,322.8,1/1/2020,1037,Terra,MODIS
9.7483,-2.0722,321.8,1/1/2020,1037,Terra,MODIS
9.7497,-2.0818,323.3,1/1/2020,1037,Terra,MODIS
9.6901,-1.6004,323.2,1/1/2020,1037,Terra,MODIS
9.7575,-2.0709,327,1/1/2020,1037,Terra,MODIS
9.7589,-2.0805,355.6,1/1/2020,1037,Terra,MODIS
9.7206,-1.748,357.1,1/1/2020,1037,Terra,MODIS
9.722,-1.7574,348.8,1/1/2020,1037,Terra,MODIS
9.643,-1.1491,320.8,1/1/2020,1037,Terra,MODIS
9.7297,-1.7468,325.3,1/1/2020,1037,Terra,MODIS
9.7311,-1.7561,323.4,1/1/2020,1037,Terra,MODIS
9.5212,-0.1996,337.8,1/1/2020,1037,Terra,MODIS
9.5226,-0.2086,353.6,1/1/2020,1037,Terra,MODIS
9.8243,-2.2087,324.6,1/1/2020,1037,Terra,MODIS
9.8433,-2.2754,327.3,1/1/2020,1037,Terra,MODIS
9.638,-0.6733,322.9,1/1/2020,1037,Terra,MODIS
9.8568,-2.1881,326.7,1/1/2020,1037,Terra,MODIS
9.8137,-1.6902,329.7,1/1/2020,1037,Terra,MODIS
9.6989,-0.8392,324.1,1/1/2020,1037,Terra,MODIS
9.7043,-0.8753,352.5,1/1/2020,1037,Terra,MODIS
9.8228,-1.6889,322.5,1/1/2020,1037,Terra,MODIS
9.8242,-1.6983,322.7,1/1/2020,1037,Terra,MODIS
9.8319,-1.6876,338.9,1/1/2020,1037,Terra,MODIS
9.8332,-1.6969,341.5,1/1/2020,1037,Terra,MODIS
9.8455,-1.7816,377,1/1/2020,1037,Terra,MODIS
9.8469,-1.791,364.2,1/1/2020,1037,Terra,MODIS
9.7573,-0.9875,329.2,1/1/2020,1037,Terra,MODIS
9.9155,-2.0717,327.2,1/1/2020,1037,Terra,MODIS
9.9169,-2.0813,326.7,1/1/2020,1037,Terra,MODIS
9.8056,-1.2524,325.3,1/1/2020,1037,Terra,MODIS
10.0086,-2.4099,322.4,1/1/2020,1037,Terra,MODIS
9.8956,-1.4922,343.3,1/1/2020,1037,Terra,MODIS
9.7569,-0.4839,333,1/1/2020,1037,Terra,MODIS
9.9006,-1.4633,324.1,1/1/2020,1037,Terra,MODIS
9.902,-1.4725,323.1,1/1/2020,1037,Terra,MODIS
9.9033,-1.4817,333.5,1/1/2020,1037,Terra,MODIS
9.9046,-1.4909,328.1,1/1/2020,1037,Terra,MODIS
10.0268,-2.3369,323.1,1/1/2020,1037,Terra,MODIS
9.7601,-0.3823,321.4,1/1/2020,1037,Terra,MODIS
9.7691,-0.3749,326.4,1/1/2020,1037,Terra,MODIS
9.7704,-0.3839,333.4,1/1/2020,1037,Terra,MODIS
9.7793,-0.3826,328.8,1/1/2020,1037,Terra,MODIS
9.908,-1.2595,324.2,1/1/2020,1037,Terra,MODIS
9.7976,-0.4443,323.3,1/1/2020,1037,Terra,MODIS
9.8597,-0.8033,324.7,1/1/2020,1037,Terra,MODIS
9.861,-0.8123,349.6,1/1/2020,1037,Terra,MODIS
9.9419,-1.3667,333.5,1/1/2020,1037,Terra,MODIS
9.9432,-1.3759,332.8,1/1/2020,1037,Terra,MODIS
9.8155,-0.4417,323,1/1/2020,1037,Terra,MODIS
10.0453,-2.0211,319.8,1/1/2020,1037,Terra,MODIS
9.9174,-1.0721,324.8,1/1/2020,1037,Terra,MODIS
